Time                          Song // Artist
2020-08-12 15:40:29.789779    b'SAD! // XXXTENTACION'
2020-08-12 15:40:30.858532    b'SAD! // XXXTENTACION'
2020-08-12 15:40:31.945682    b'SAD! // XXXTENTACION'
2020-08-12 15:40:33.030864    b'SAD! // XXXTENTACION'
2020-08-12 15:40:34.092476    b'SAD! // XXXTENTACION'
2020-08-12 15:40:35.167530    b'SAD! // XXXTENTACION'
2020-08-12 15:40:36.235040    b'SAD! // XXXTENTACION'
2020-08-12 15:40:37.310335    b'SAD! // XXXTENTACION'
2020-08-12 15:40:38.372592    b'SAD! // XXXTENTACION'
2020-08-12 15:40:39.430115    b'SAD! // XXXTENTACION'
2020-08-12 15:40:40.498569    b'SAD! // XXXTENTACION'
2020-08-12 15:40:41.571830    b'SAD! // XXXTENTACION'
2020-08-12 15:40:42.633684    b'SAD! // XXXTENTACION'
2020-08-12 15:40:43.703606    b'SAD! // XXXTENTACION'
2020-08-12 15:40:44.779660    b'SAD! // XXXTENTACION'
2020-08-12 15:40:45.850135    b'SAD! // XXXTENTACION'
2020-08-12 15:40:46.921842    b'SAD! // XXXTENTACION'
2020-08-12 15:40:47.980372    b'SAD! // XXXTENTACION'
2020-08-12 15:40:49.055141    b'SAD! // XXXTENTACION'
2020-08-12 15:40:50.118461    b'SAD! // XXXTENTACION'
2020-08-12 15:40:51.178026    b'SAD! // XXXTENTACION'
2020-08-12 15:40:52.241346    b'SAD! // XXXTENTACION'
2020-08-12 15:40:53.324540    b'SAD! // XXXTENTACION'
2020-08-12 15:40:54.383489    b'SAD! // XXXTENTACION'
2020-08-12 15:40:55.444368    b'SAD! // XXXTENTACION'
2020-08-12 15:40:56.513208    b'SAD! // XXXTENTACION'
2020-08-12 15:40:57.596227    b'SAD! // XXXTENTACION'
2020-08-12 15:40:58.669716    b'SAD! // XXXTENTACION'
2020-08-12 15:40:59.787699    b'SAD! // XXXTENTACION'
2020-08-12 15:41:00.845392    b'SAD! // XXXTENTACION'
2020-08-12 15:41:01.899813    b'SAD! // XXXTENTACION'
2020-08-12 15:41:02.992197    b'SAD! // XXXTENTACION'
2020-08-12 15:41:04.059904    b'SAD! // XXXTENTACION'
2020-08-12 15:41:05.126295    b'SAD! // XXXTENTACION'
2020-08-12 15:41:06.209575    b'SAD! // XXXTENTACION'
2020-08-12 15:41:07.282757    b'SAD! // XXXTENTACION'
2020-08-12 15:41:08.358751    b'SAD! // XXXTENTACION'
2020-08-12 15:41:09.430007    b'SAD! // XXXTENTACION'
2020-08-12 15:41:10.489863    b'SAD! // XXXTENTACION'
2020-08-12 15:41:11.562885    b'SAD! // XXXTENTACION'
2020-08-12 15:41:12.640908    b'SAD! // XXXTENTACION'
2020-08-12 15:41:13.708563    b'SAD! // XXXTENTACION'
2020-08-12 15:41:14.771127    b'SAD! // XXXTENTACION'
2020-08-12 15:41:15.836877    b'SAD! // XXXTENTACION'
2020-08-12 15:41:16.905772    b'SAD! // XXXTENTACION'
2020-08-12 15:41:17.997962    b'SAD! // XXXTENTACION'
2020-08-12 15:41:19.067795    b'SAD! // XXXTENTACION'
2020-08-12 15:41:20.141489    b'SAD! // XXXTENTACION'
2020-08-12 15:41:21.210315    b'SAD! // XXXTENTACION'
2020-08-12 15:41:22.275662    b'SAD! // XXXTENTACION'
2020-08-12 15:41:23.345986    b'SAD! // XXXTENTACION'
2020-08-12 15:41:24.411374    b'SAD! // XXXTENTACION'
2020-08-12 15:41:25.476309    b'SAD! // XXXTENTACION'
2020-08-12 15:41:26.547650    b'SAD! // XXXTENTACION'
2020-08-12 15:41:35.759554    SAD! // XXXTENTACION
2020-08-12 15:41:40.055579    Murder Song (5, 4, 3, 2, 1) - Acoustic // AURORA
2020-08-12 15:41:43.263316    Conversations with my Wife // Jon Bellion
2020-08-12 15:45:09.079023    JT // Jon Bellion
2020-08-12 15:46:48.825497    Let's Begin (feat. Roc Marciano, RZA, B.Keyz & Travis Mendes) // Jon Bellion
2020-08-12 15:46:50.996014    Stupid Deep // Jon Bellion
2020-08-12 15:46:54.206012    Mah's Joint (feat. Quincy Jones) // Jon Bellion
2020-08-12 15:52:15.750494    Vanilla Twilight // Owl City
2020-08-12 15:56:06.264197    Beautiful // Said the Sky
2020-08-12 15:56:09.475704    November Rain // Kris Wu
2020-08-12 15:56:11.612842    Vanilla Twilight // Owl City
2020-08-12 16:06:58.119097    Beautiful // Said the Sky
2020-08-12 16:09:41.565629    November Rain // Kris Wu
2020-08-12 16:37:27.321626    Come Ye Souls by Sin Afflicted (Look to Jesus) [feat. Emily DeLoach] // Indelible Grace Music
2020-08-12 16:43:00.098094    Vanilla Twilight // Owl City
b"2020-08-12 16:51:50.588623    Mah's Joint (feat. Quincy Jones) // Jon Bellion"
b"2020-08-12 16:51:51.669010    Mah's Joint (feat. Quincy Jones) // Jon Bellion"
b"2020-08-12 16:51:52.782217    Mah's Joint (feat. Quincy Jones) // Jon Bellion"
b"2020-08-12 16:51:53.843277    Mah's Joint (feat. Quincy Jones) // Jon Bellion"
b"2020-08-12 16:51:55.033220    Mah's Joint (feat. Quincy Jones) // Jon Bellion"
b"2020-08-12 16:51:56.089921    Mah's Joint (feat. Quincy Jones) // Jon Bellion"
